INFO 2020-10-29 11:34:18,836 登录功能开始
INFO 2020-10-29 11:34:29,327 ---输入用户名---
INFO 2020-10-29 11:34:35,495 输入密码123456
INFO 2020-10-29 11:36:35,266 登录功能开始
INFO 2020-10-29 11:36:35,330 ---输入用户名---
INFO 2020-10-29 11:36:35,394 输入密码123456
INFO 2020-10-29 11:36:38,456 点击登录
INFO 2020-10-29 11:36:38,542 -获取弹出框内容-
INFO 2020-10-29 11:36:51,667 登录功能开始
INFO 2020-10-29 11:36:51,743 ---输入用户名---admin
INFO 2020-10-29 11:36:51,807 输入密码654321
INFO 2020-10-29 11:36:55,257 点击登录
INFO 2020-10-29 11:36:55,260 -获取弹出框内容-
INFO 2020-10-29 11:37:08,145 登录功能开始
INFO 2020-10-29 11:37:08,217 ---输入用户名---
INFO 2020-10-29 11:37:08,283 输入密码
INFO 2020-10-29 11:37:11,339 点击登录
INFO 2020-10-29 11:37:11,350 -获取弹出框内容-
INFO 2020-10-29 11:39:56,826 登录功能开始
INFO 2020-10-29 11:39:58,403 ---输入用户名---
INFO 2020-10-29 11:39:58,405 输入密码123456
INFO 2020-10-29 11:40:01,407 点击登录
INFO 2020-10-29 11:40:24,251 登录功能开始
INFO 2020-10-29 11:40:33,737 ---输入用户名---admin
INFO 2020-10-29 11:42:46,755 登录功能开始
INFO 2020-10-29 11:42:46,814 ---输入用户名---
INFO 2020-10-29 11:42:46,878 输入密码123456
INFO 2020-10-29 11:42:49,946 点击登录
INFO 2020-10-29 11:42:49,948 -获取弹出框内容-
INFO 2020-10-29 11:53:17,828 登录功能开始
INFO 2020-10-29 11:53:17,892 ---输入用户名---admin
INFO 2020-10-29 11:53:17,963 输入密码654321
INFO 2020-10-29 11:53:21,543 点击登录
INFO 2020-10-29 11:53:21,546 -获取弹出框内容-
INFO 2020-10-29 11:53:34,689 登录功能开始
INFO 2020-10-29 11:53:34,750 ---输入用户名---
INFO 2020-10-29 11:53:34,802 输入密码
INFO 2020-10-29 11:53:37,851 点击登录
INFO 2020-10-29 11:53:37,853 -获取弹出框内容-
INFO 2020-10-29 11:53:51,345 登录功能开始
INFO 2020-10-29 11:53:51,413 ---输入用户名---admin
INFO 2020-10-29 11:53:51,477 输入密码123456
INFO 2020-10-29 11:53:54,788 点击登录
INFO 2020-10-29 11:53:54,853 -获取登录成功信息-
INFO 2020-10-29 11:54:07,897 登录功能开始
INFO 2020-10-29 11:54:07,976 ---输入用户名---admin
INFO 2020-10-29 11:54:08,030 输入密码
INFO 2020-10-29 11:54:11,084 点击登录
INFO 2020-10-29 11:54:11,087 -获取弹出框内容-
